kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mmul4_tiles.1.sm_80.ptx 137 : 4096 20480 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 136 : 4096 43840 0 0 0 512 128 0 0 
mmul4_tiles.1.sm_80.ptx 135 : 4096 36864 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 134 : 4096 36864 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 133 : 4096 34816 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 132 : 4096 38912 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 131 : 4096 20480 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 109 : 4096 20928 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 108 : 4096 24832 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 105 : 16384 62848 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 104 : 16384 112928 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 103 : 16384 197600 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 102 : 16384 181600 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 101 : 16384 171360 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 100 : 16384 151744 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 99 : 16384 548416 0 512 512 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 98 : 16384 544416 0 512 512 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 97 : 16384 154784 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 96 : 16384 166144 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 95 : 16384 147648 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 94 : 16384 550560 0 512 512 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 59 : 4096 36864 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 58 : 4096 38912 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 57 : 4096 36864 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 56 : 4096 26624 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 55 : 4096 16384 0 128 128 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 54 : 4096 28672 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 53 : 4096 36864 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 52 : 4096 24576 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 51 : 4096 24576 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 50 : 4096 36864 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 49 : 4096 36864 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 48 : 4096 1098240 0 0 0 512 128 0 0 
mmul4_tiles.1.sm_80.ptx 47 : 4096 36864 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 46 : 4096 36864 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 45 : 4096 29184 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 44 : 4096 37376 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 31 : 4096 23552 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 90 : 16384 565408 0 512 512 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 32 : 4096 61440 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 91 : 16384 147552 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 33 : 4096 50176 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 92 : 16384 161856 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 34 : 4096 30720 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 93 : 16384 548800 0 512 512 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 35 : 4096 26112 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 36 : 4096 31744 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 37 : 4096 24576 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 38 : 4096 38912 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 39 : 4096 33280 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 40 : 4096 32768 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 41 : 4096 31232 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 42 : 4096 37376 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 43 : 4096 31744 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 60 : 4096 1088800 0 0 0 512 128 0 0 
mmul4_tiles.1.sm_80.ptx 61 : 4096 22528 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 62 : 4096 36864 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 63 : 4096 16384 0 128 128 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 64 : 4096 20480 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 65 : 4096 24576 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 66 : 4096 0 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 68 : 4096 38912 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 69 : 4096 34816 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 70 : 4096 24576 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 71 : 4096 24576 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 72 : 4096 24576 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 73 : 4096 0 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 75 : 4096 43008 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 76 : 4096 30720 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 77 : 4096 38912 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 78 : 4096 34816 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 79 : 4096 36864 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 80 : 4096 38816 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 81 : 4096 28768 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 82 : 4096 36672 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 85 : 16384 560000 0 512 512 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 86 : 16384 579424 0 512 512 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 87 : 16384 148160 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 88 : 16384 163168 0 0 0 0 0 0 0 
mmul4_tiles.1.sm_80.ptx 89 : 16384 558816 0 512 512 0 0 0 0 
